entries=2233,dt=1.000000000000000e+05
i,zai,name,n_0,n_dt
320,270590,Co59,1.000000000000000e+20,1.053603477120597e+20
321,270600,Co60,1.000000000000000e+20,1.996671560071611e+20
322,270601,Co60m,1.000000000000000e+20,3.981375455295681e+09
323,270610,Co61,1.000000000000000e+20,2.674591702535732e+15
324,270620,Co62,1.000000000000000e+20,0.000000000000000e+00
325,270621,Co62m,1.000000000000000e+20,0.000000000000000e+00
326,270630,Co63,1.000000000000000e+20,3.413931974971131e-23
327,270640,Co64,1.000000000000000e+20,6.846605749661531e-38
328,270650,Co65,1.000000000000000e+20,1.404493804465733e-33
329,270660,Co66,1.000000000000000e+20,2.583970670866882e-47
330,270670,Co67,1.000000000000000e+20,0.000000000000000e+00
331,270680,Co68,1.000000000000000e+20,0.000000000000000e+00
332,270681,Co68m,1.000000000000000e+20,0.000000000000000e+00
333,270690,Co69,1.000000000000000e+20,0.000000000000000e+00
334,280530,Ni53,1.000000000000000e+20,5.940219442363090e-73
335,280540,Ni54,1.000000000000000e+20,2.497496612482631e-54
336,280550,Ni55,1.000000000000000e+20,0.000000000000000e+00
337,280560,Ni56,1.000000000000000e+20,1.749074903843289e+20
338,280570,Ni57,1.000000000000000e+20,1.187334590702825e+20
339,280580,Ni58,1.000000000000000e+20,2.969999999999996e+20
340,280590,Ni59,1.000000000000000e+20,2.999999913366120e+20
341,280600,Ni60,1.000000000000000e+20,3.003328444280456e+20
342,280610,Ni61,1.000000000000000e+20,5.993753033730203e+20
343,280620,Ni62,1.000000000000000e+20,6.872746187134274e+20
344,280630,Ni63,1.000000000000000e+20,3.999912694968384e+20
345,280640,Ni64,1.000000000000000e+20,4.476044447899543e+20
346,280650,Ni65,1.000000000000000e+20,1.441823114310601e+17
347,280660,Ni66,1.000000000000000e+20,1.403841382106476e+20
348,280670,Ni67,1.000000000000000e+20,0.000000000000000e+00
349,280680,Ni68,1.000000000000000e+20,2.497275932747116e-22
350,280690,Ni69,1.000000000000000e+20,7.883891444368438e-31
351,280691,Ni69m,1.000000000000000e+20,0.000000000000000e+00
352,280700,Ni70,1.000000000000000e+20,0.000000000000000e+00
353,280710,Ni71,1.000000000000000e+20,1.385225865938120e-37
354,290560,Cu56,1.000000000000000e+20,1.134184940864337e-56
355,290570,Cu57,1.000000000000000e+20,5.284221831048892e-48
356,290580,Cu58,1.000000000000000e+20,9.752971754452617e-39
357,290590,Cu59,1.000000000000000e+20,5.657134218295047e-21
358,290600,Cu60,1.000000000000000e+20,0.000000000000000e+00
359,290610,Cu61,1.000000000000000e+20,6.220220352758158e+17
